country,year,iso_code,region,population,energy_per_capita,total_energy,income_per_capita,gdp_per_capita,gdp,biofuel_share_energy,coal_share_energy,fossil_share_energy,gas_share_energy,hydro_share_energy,nuclear_share_energy,oil_share_energy,other_renewables_share_energy,renewables_share_energy,green_energy_share,solar_share_energy,wind_share_energy
Peru,2020,PER,Americas,33304768,8643.31,287863434302,5207.104702,8797.208856,292989000000,1.634,2.065,67.619,28.381,27.836,0,37.173,0.475,32.381,32.381,0.781,1.655
Philippines,2020,PHL,Asia,112190984,4579.271,513752919493,3127.151968,7953.009843,892256000000,1.007,39.72,88.006,7.48,3.701,0,40.806,6.06,11.994,11.994,0.702,0.525
Poland,2020,POL,Europe,38428368,29645.658,1139234255226,13333.54328,28587.73498,1098580000000,1.04,41.994,92.038,18.49,0.488,0,31.554,2.34,7.962,7.962,0.451,3.642
Portugal,2020,PRT,Europe,10298186,25756.738,265247678677,17471.06556,25511.67749,262724000000,1.131,2.48,68.26,22.759,11.963,0,43.021,4.769,31.74,31.74,1.699,12.177
Qatar,2020,QAT,Asia,2760390,185313.188,511536671023,38674.49854,130603.6466,360517000000,,,,,,,,,,0,,
Romania,2020,ROU,Europe,19442040,19004.617,369488523899,10801.98354,24868.73805,483499000000,1.361,11.292,73.245,30.481,10.933,7.821,31.472,0.472,18.934,26.755,1.232,4.936
Russia,2020,RUS,Europe,145617328,55480.828,8078969928588,8080.555664,24768.48085,3606720000000,0.023,11.316,86.209,52.418,6.906,6.735,22.475,0.029,7.055,13.79,0.061,0.037
Rwanda,2020,RWA,Africa,13146367,496.898,6532403470,629.5134521,1829.25397,24048044032,,,,,,,,,,0,,
Sao Tome and Principe,2020,STP,Africa,218650,3207.423,701303039,1689.787167,3701.479881,809328576,,,,,,,,,,0,,
Saint Lucia,2020,LCA,Americas,179245,12810.415,2296202837,6953.412674,7596.428129,1361621760,,,,,,,,,,0,,
Saudi Arabia,2020,SAU,Asia,35997108,80184.539,2886411510313,16512.38917,44834.99063,1613930000000,,,,,,,,,,0,,
Senegal,2020,SEN,Africa,16436120,2532.413,41623043958,1294.895069,2843.943233,46743392256,,,,,,,,,,0,,
Serbia,2020,SRB,Europe,7358010,26211.984,192868040392,6351.269736,14438.82245,106241000000,,,,,,,,,,0,,
Seychelles,2020,SYC,Africa,105545,43703.281,4612662793,10722.81608,27208.57598,2871729152,,,,,,,,,,0,,
Sierra Leone,2020,SLE,Africa,8233973,480.527,3956646344,420.6285627,1313.394492,10814454784,,,,,,,,,,0,,
Singapore,2020,SGP,Asia,5909874,154067.25,910518035027,40860.48066,69240.90091,409205000000,,,,,,,,,,0,,
Slovakia,2020,SVK,Europe,5456681,33193.328,181125402224,15875.11563,26309.94922,143565000000,0.981,14.874,67.065,26.251,6.55,21.489,25.94,2.949,11.447,32.936,0.961,0.006
Slovenia,2020,SVN,Europe,2117648,36500.57,77295359059,20345.77611,28734.68618,60849950720,1.398,15.193,58.707,11.064,16.765,20.713,32.45,1.146,20.581,41.294,1.251,0.021
South Africa,2020,ZAF,Africa,58801928,23687.934,1392896189537,4658.24802,11494.04489,675872000000,0.053,73.422,95.502,2.851,0.276,1.792,19.23,0.094,2.706,4.498,1.075,1.209
Spain,2020,ESP,Europe,47363808,30043.191,1422959930231,22321.68394,30835.9919,1460510000000,1.595,2.417,66.841,22.833,5.63,10.325,41.591,1.377,22.834,33.159,3.814,10.418
Sri Lanka,2020,LKA,Asia,21715076,4881.421,106000428003,3490.725902,12429.98182,269918000000,,,,,,,,,,0,,
Sweden,2020,SWE,Europe,10368968,57891.91,600279362249,45322.00707,44062.7264,456885000000,2.13,3.101,27.149,1.651,31.626,20.655,22.398,5.944,52.196,72.851,0.453,12.043
Switzerland,2020,CHE,Europe,8638609,35722.309,308591060028,62971.41617,60877.39357,525896000000,0.671,0.329,44.299,10.741,31.884,18.775,33.228,2.036,36.926,55.701,2.212,0.123
Syria,2020,SYR,Asia,20772602,5564.748,115594295434,485.6932303,2689.708774,55872249856,,,,,,,,,,0,,
Tajikistan,2020,TJK,Asia,9543211,7819.39,74622088661,869.1688293,4482.641747,42778796032,,,,,,,,,,0,,
Tanzania,2020,TZA,Africa,61704520,913.588,56372509018,927.7069092,2923.918702,180419000000,,,,,,,,,,0,,
Thailand,2020,THA,Asia,71475664,19247.928,1375758434424,5454.101184,15086.67342,1078330000000,1.888,15.423,92.819,34.056,0.867,0,43.34,2.851,7.181,7.181,0.96,0.615
Togo,2020,TGO,Africa,8442583,1152.519,9730237317,807.180026,1506.66331,12720130048,,,,,,,,,,0,,
Trinidad and Tobago,2020,TTO,Americas,1518142,111546.414,169343296043,11158.46192,24362.04584,36985044992,,0,99.99,89.674,0,0,10.317,0,0.01,0.01,0.01,0
Tunisia,2020,TUN,Africa,12161720,9290.702,112990916327,2936.839598,9944.810438,120946000000,,,,,,,,,,0,,
Turkey,2020,TUR,Asia,84135432,21652.902,1821776263824,7197.801955,24124.79441,2029750000000,0.064,25.929,81.352,25.365,11.258,0,30.057,2.169,18.648,18.648,1.579,3.579
Uganda,2020,UGA,Africa,44404608,766.414,34032313236,637.2575792,2064.991839,91695153152,,,,,,,,,,0,,
Ukraine,2020,UKR,Europe,43909664,20916.844,918451591980,3317.017822,9768.487411,428931000000,0.063,28.93,74.134,31.944,2.163,20.91,13.26,0.263,4.957,25.867,1.535,0.933
United Arab Emirates,2020,ARE,Asia,9287286,129712.344,1204675636458,34318.67722,75215.62273,698549000000,,,,,,,,,,0,,
United States,2020,USA,Americas,335942016,73294.336,24622646997221,53872.1531,53662.23676,18027400000000,1.536,10.381,80.97,33.894,3.016,8.51,36.695,0.918,10.52,19.03,1.408,3.641
Uruguay,2020,URY,Americas,3429087,17631.439,60459738266,13661.84675,18393.35536,63072415744,,,,,,,,,,0,,
Uzbekistan,2020,UZB,Asia,33526662,16105.863,539975825019,1395.924211,10343.55881,346785000000,,5.307,97.565,80.714,2.431,0,11.543,0,2.435,2.435,0.003,0
Vietnam,2020,VNM,Asia,96648680,12461.562,1204393518038,2941.226206,7787.276557,752630000000,,50.626,81.46,7.339,15.889,0,23.494,0.09,18.54,18.54,2.347,0.214
Zambia,2020,ZMB,Africa,18927716,3099.083,58658562884,698.2495179,3343.330529,63281610752,,,,,,,,,,0,,
Zimbabwe,2020,ZWE,Africa,15669663,2680.132,41996765236,1161.171249,1479.209026,23178706944,,,,,,,,,,0,,
